,Energy,Momentum
147,-18.742072638345746,5.105088062083414
148,-18.56413024177265,5.105088062083414
149,-18.441192767071154,5.105088062083414
150,-18.41543103217409,5.105088062083414
151,-18.36962866213499,5.105088062083414
152,-18.344045141486255,5.105088062083414
153,-18.288383536386906,5.105088062083414
154,-18.28152598241142,5.105088062083414
155,-18.25372204507168,5.105088062083414
156,-18.209527326391505,5.105088062083414
157,-18.169530640235045,5.105088062083414
158,-18.129116715002755,5.105088062083414
159,-18.108565913610217,5.105088062083414
160,-20.354588852272293,5.497787143782138
161,-20.352175918142603,5.497787143782138
162,-20.335990538515368,5.497787143782138
163,-19.788395928618,5.497787143782138
164,-19.38700753792925,5.497787143782138
165,-19.368160322595312,5.497787143782138
166,-19.003154377544462,5.497787143782138
167,-18.991942539564228,5.497787143782138
168,-18.77891065289964,5.497787143782138
